Date,ASIANPAINT,AXISBANK,BAJFINANCE,BAJAJFINSV,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
1-Jan-16,880.15,449.8,6087.1,1986.25,340.55,845.5,1257.3,1088.6,856.55,263,963.4,1103.15,327.3,724.5,1288.55,1263.45,4635.05,5786.15,144.4,140.85,1015.35,227.65,815.75,401.65,257.3,2416.25,519.7,351.05,2816,556.4
4-Jan-16,880.65,439.25,6053.4,1963.45,326.6,845.8,1216.35,1070.85,857.15,255.55,934.45,1080.6,324.85,705.4,1255.35,1244.2,4583.4,5680.7,143.75,140.9,995.4,220.95,798.65,377.15,257,2375.5,516.1,351.3,2760.05,557.95
5-Jan-16,900.85,436.35,5999.85,1947.1,324.05,842.45,1209.1,1061.75,847.8,256.75,935.45,1074.8,324.7,708.9,1257.35,1248.05,4568.35,5659.9,142.35,139.1,1005.1,218.25,801.25,374.65,274.1,2350.35,520.6,347.55,2739,557
6-Jan-16,886.55,430.8,6132.95,1944.15,321.85,840.4,1208.45,1065.3,841.4,250.1,943.85,1069.45,315.1,703.35,1239.65,1223.7,4479.55,5716.95,141.45,139.65,1031.95,217,792.5,365.7,268.5,2381.2,523.55,348.2,2736.65,555.25
7-Jan-16,871.55,409.35,6112.95,1932.5,321.45,823.85,1179.8,1052.95,819.7,247,926.15,1051.25,309.6,692.1,1206.3,1193.6,4266.55,5644.65,137.85,138.05,1011.55,209.55,784,343.2,250.1,2370.05,511.45,344.05,2666.35,549.8
8-Jan-16,875.2,413.85,6314.55,1996.7,323.95,828,1175.2,1061.8,811.8,244.95,947.25,1062.65,313.35,694.8,1179.85,1196.7,4215.65,5629.85,139.6,141.6,1024.05,208.95,793,353.45,253.7,2397.25,522.3,348.1,2703,556
11-Jan-16,873.75,417.25,6302.7,1943.55,321.3,814.45,1162.75,1057.6,812.45,239.5,937.6,1057.1,316,699.75,1174.8,1163.6,4279.45,5514.9,141.65,143.2,1051.55,204.3,782.85,360.65,252,2363,507.35,345.25,2726.9,537.8
12-Jan-16,873.15,406.1,6192.45,1951.75,315.15,810.45,1154.1,1049.5,819.5,236.85,912.45,1050.05,315.45,692.2,1179.6,1182.15,4269.65,5444,145.15,142.6,1045.1,199.85,788.25,355.05,246.35,2324.05,506.4,346.65,2670.65,549
13-Jan-16,869.4,406.4,6083.5,1986.45,308.7,826.7,1167.2,1059.25,831.05,238.8,936.25,1082.35,316,688.25,1157.8,1205.4,4293.4,5501.95,144.2,141.05,1077.35,200.95,796.6,364.45,247,2280.3,504.4,348.65,2684.55,546.3
14-Jan-16,890.2,390.55,6071.7,1956.3,309,829.25,1159.4,1049.55,826.45,235.3,917.45,1128.7,317.2,686.05,1134.9,1187.95,4249.65,5620.6,143.15,142.7,1061.2,195.8,790.95,354.85,238.7,2278.95,514,342.6,2627.05,545.4
15-Jan-16,879.5,373.65,5972.6,1906.3,306.3,837.65,1148.85,1042.85,804.15,224.55,920.9,1140.2,313.75,675.95,1106.05,1176.55,4273.3,5599.95,136.6,139.35,1073.15,184.75,785.9,341.55,229.9,2263.5,520.2,335,2617.05,543.45
18-Jan-16,850.6,373.55,5496.45,1830.15,300.35,843.35,1133.85,1029.15,810.6,222.7,896.2,1131.95,315.5,667.15,1082.9,1167,4227.6,5448,134.65,138.15,1018,181.1,786.2,341.4,236.25,2282.45,517.75,334.5,2638.75,547.35
19-Jan-16,845.2,393.1,5644.45,1851.9,310.15,838.5,1152.6,1035.55,811.35,228.8,896,1139.1,314.1,667.75,1122.7,1151.8,4201.95,5430.55,135.25,136.25,1043.6,183.1,794.15,354.05,237.95,2279,512.35,339.15,2644.5,541.75
20-Jan-16,839.35,388.65,5640.85,1849.35,309.4,838.5,1135.2,1017.2,796.5,224.15,867,1121.65,309.05,662.75,1113.1,1150.5,4058.9,5471.15,132.2,134.7,1004.35,173.7,793.85,342.05,231.7,2277.6,507.2,341.05,2625.2,542.15
21-Jan-16,843.9,408.9,5731.9,1853.95,309.4,838.75,1134.4,1023.6,776.85,226.2,873.55,1136.5,306.55,661.9,1102.3,1140.3,3892.1,5445.4,132.85,132.2,984.9,175.85,773.25,329.4,234.55,2261.2,507.35,343,2697.1,550.7
22-Jan-16,869.5,424.1,5823.4,1902.15,298.85,839.4,1157.85,1030.3,772.65,232.75,897.75,1135.9,308.65,682.95,1142,1191.45,4107.35,5452.35,137.95,133.2,1003.95,184.3,790.05,339.35,247.1,2295.25,513.8,347.9,2718.9,550.3
25-Jan-16,877.4,420,5850.1,1929.5,297.75,839.95,1174.1,1039.95,781.65,236.15,906.75,1137.65,309.55,678.8,1113.85,1178.1,4085.7,5464.05,137.75,133.25,1004.8,182.9,807.8,332.9,253.85,2305.95,514.25,354.2,2750.25,546.85
27-Jan-16,858.7,415.15,5922.8,1890.35,297.9,835.25,1167.7,1035.85,767.75,236.95,908,1138.35,312.5,674.15,1107.3,1176.9,4108.8,5485,143.4,138.4,999.35,184.3,821.3,337.15,257.55,2319.6,503.3,348.95,2747.2,552.45
28-Jan-16,859.65,406.6,5770.6,1896.15,291.3,844.35,1148.2,1032.5,790.9,232.95,907.85,1131.35,318.6,665.5,1077.15,1201.2,4093.55,5474.15,144.1,143.75,1016.9,185.35,834.6,334,254.4,2330.9,500.2,339.3,2743.5,547.15
29-Jan-16,868.85,408.15,5908.3,1868.85,289.7,866,1177.6,1048.95,816.9,230.1,926.9,1164.85,319.5,682.4,1102.2,1232.7,4097.45,5490.6,142.2,147.6,1035.05,179.95,873,336.7,250.05,2391.2,501.55,363.9,2826,561.2
1-Feb-16,887.25,399.3,6019.15,1866.5,296.5,878.75,1179.5,1061.2,800.9,217.15,926.4,1171.3,324.7,688.5,1122.15,1226.95,3946.8,5462.85,140.25,146.9,1028.1,172.9,870.2,338.35,249.4,2402.2,498.8,359.15,2812.35,566.45
2-Feb-16,880.7,391.3,5829.55,1819.1,302.2,873.8,1177.35,1055.5,800.2,210.6,908.75,1174.8,324.45,677,1121.6,1209.05,3876.1,5455.8,134.25,146.05,1002,169.45,834.35,329.7,231.5,2401.5,475.3,351.6,2809.3,566.5
3-Feb-16,863.4,380.55,6380.5,1880.7,299.75,852.75,1160.8,1043.8,821.45,204.1,906.35,1158.15,321.45,666.4,1107.45,1207.05,3828.7,5412.15,128.75,143.2,980.7,166.05,836.35,320.5,224,2417.05,472.05,353.65,2771.05,556.55
4-Feb-16,888.7,382.1,6343.45,1882.2,304.5,867.45,1170,1050.3,834.6,204.05,913.25,1179.9,321.65,675.75,1136.05,1201.15,3793.85,5478.5,126,146.85,973.95,163.05,832.55,325.95,226.15,2417.45,469.2,360.75,2770.2,559.6
5-Feb-16,897.15,398.9,6705.8,1904.6,307.1,870.1,1183.7,1056.4,844.95,209.2,912.2,1174.95,323.9,692.3,1139.65,1217.35,3723.25,5433.65,124.7,145.3,972.3,168.2,856.8,337.25,234,2425.85,474.85,369.35,2842.75,558
8-Feb-16,887.2,408.4,6625.3,1829.8,311,850.25,1161.75,1037.2,829.95,208.55,884.75,1149.1,315.1,673.15,1130.25,1197.55,3734,5418.15,123.2,142.5,961.6,172.05,836.1,323.95,234.45,2368.5,470.65,371.15,2820.9,545.45
9-Feb-16,884.2,400.4,6586.9,1779.05,311.95,811.85,1159.8,1026,826.6,209.3,868.9,1109.3,312.65,677.25,1114.45,1182.6,3656.6,5418.4,125.6,141.9,956.6,167,854.25,310.6,235.55,2281.45,447.65,367,2763.25,536.05
10-Feb-16,876.95,393.2,6475.85,1793.55,310.8,826.95,1116.8,1013.85,824.7,207.15,837.85,1110.15,308.85,667.15,1122.6,1184.35,3683,5292.9,124.85,143.65,962.4,158.95,856.6,291.85,235.65,2270.05,439.9,367.15,2805.9,532.3
11-Feb-16,855.3,377.5,6159.55,1694.9,308.6,809.1,1067.95,976.05,798.8,199.35,812.65,1081.15,298.7,628.9,1092.3,1126,3541.15,5224.35,121.1,136.45,922.45,154.2,830.95,275.65,225,2196.05,431.15,355.4,2707.8,516.1
12-Feb-16,856.15,390.8,6005.9,1702.1,325.25,798.3,1083.65,973.35,810.95,194.2,812,1083.5,300.25,622.7,1053.7,1168.4,3549.4,5056.85,124.05,138.2,906.3,154.95,848.35,298.65,217.85,2226.5,430.25,356.2,2769.4,517.2
15-Feb-16,857.75,417.5,6276.75,1724.1,318.65,825.5,1081.1,974.2,805,203.4,822.4,1091.35,303.7,623.9,1149.15,1222.7,3711.65,5059.15,124.95,138.7,944.65,167.25,848.95,316.45,246.2,2269.55,431.4,358.9,2803.5,525.9
16-Feb-16,841,405.55,5990.05,1706.6,315.1,821.75,1077.1,973.45,804.3,196.8,834.85,1081,295.45,618.25,1107.9,1204.45,3706.1,5063.45,127.75,139.4,929.65,156.4,827.35,301,244.85,2267.75,423.35,349.15,2790.9,526.6
17-Feb-16,853.8,403.55,6091.4,1695.75,319.5,824.6,1076.7,975.2,812.2,190.7,831.4,1095.45,299.65,625.75,1122.15,1202.95,3749.8,5070.2,127.5,139.25,952.45,159.15,854.55,310.1,251.35,2278,430.15,327,2774.95,527.35
18-Feb-16,835.95,397.95,6168.95,1716.85,321.2,843.8,1070.05,989.6,826.6,196.1,847.05,1122.7,304.95,635.25,1149.25,1210.65,3654.9,5178.5,127.4,139.85,941.15,159.55,869.05,313.7,250.5,2315.3,429.45,334.05,2794.8,541.05
19-Feb-16,854.1,392.5,6048.75,1675.35,326.3,850.2,1060.75,988.05,825.65,198.55,841.85,1125.55,304.85,631.05,1151.25,1230.75,3581.05,5208.15,129.5,141,944.55,164.65,863.75,317.5,253.25,2320.2,439.7,334.25,2840.3,547.35
22-Feb-16,868.95,397.1,6007.75,1634.6,329.3,839.9,1058.35,990.9,858.85,198.45,846.15,1125.3,299.6,640.15,1150.45,1237.35,3523.3,5274.25,126.85,139.6,962.45,164.95,882.4,318.8,255.2,2314.2,431.95,338.1,2918.55,542.9
23-Feb-16,874.5,385.1,5888.05,1612.85,321,831.7,1051.1,969.9,836.5,192.1,839.55,1123.95,294.3,621.45,1130.1,1211.9,3492.5,5190.25,123.9,137.15,950.7,158.45,871.1,318.45,253.45,2265.1,427.65,329,2814.25,539.6
24-Feb-16,879,386.55,5830.7,1609.15,324,810.25,1022.95,949.5,836.85,187.05,821.7,1125.4,287.2,618.85,1113.25,1218.45,3489.85,5200,118.7,139.7,952.55,156.7,854.5,306.9,247.85,2218.65,421.35,327.4,2795.75,534.1
25-Feb-16,862.65,379.2,5744.55,1602.8,323.25,809.3,1041.9,946.7,841.15,183.35,807.85,1111.25,286.2,607.9,1086.9,1218.7,3423.5,5133.1,118.5,131.75,944.4,151.9,874.85,298,248.05,2212.25,416,324.8,2778.65,532.65
26-Feb-16,860.9,386.05,5802.6,1598.45,318.5,819.4,1054.7,959.85,850.6,184.85,816.45,1121.05,291,615.75,1110.7,1229.6,3409.05,5107.45,121.35,133.45,950.5,156.25,871.05,302.2,248.4,2214.7,417.15,330.6,2775.45,531.6
29-Feb-16,848.55,375.25,5927.45,1610.45,316.75,812.4,1061.55,972.55,829.8,190,830.85,1083.75,295.8,630.25,1079.25,1226.8,3242.6,5012.35,119.7,130.1,966.55,158.4,855.05,300.25,249.1,2181.9,415.05,316.35,2767.05,519.9
1-Mar-16,872.25,391.9,6208,1685.5,320.8,832,1068.75,985,825,205.1,860.25,1124.5,325.1,637.75,1123.75,1266.25,3495.5,5049,122.5,133.4,982.25,162.2,867.5,315.3,256.9,2275,431.8,336.9,2887.5,535
2-Mar-16,871.8,407.15,6376.7,1728.95,326.65,854.6,1100.25,1008.05,847.4,220.2,883.2,1156.25,319.9,654.45,1137.8,1199.05,3611.7,5082.35,126.7,135.35,1001.2,180.85,852.3,317,267.15,2319.55,456.1,334.2,2973.7,539.85
3-Mar-16,880.1,416.85,6203.35,1678.95,333.45,859,1123.6,1013.85,848.35,217.9,894.15,1169.15,317.5,657.05,1206.15,1215.35,3611.2,5213.5,126.4,135.5,1012.55,182.5,870.35,336.35,286.3,2377.3,461.2,342.35,2953.95,542.1
4-Mar-16,867.1,415.8,6320.5,1674.35,330.1,835.45,1128.5,1021.05,848.6,220.5,914.4,1170.55,316,667.35,1193.75,1215.9,3564.8,5283.1,125.9,138.6,1006.5,188.4,857.2,343.55,288.35,2359.05,451.5,338.45,2904.95,536.8
8-Mar-16,872.9,411.7,6274.5,1668.8,331.8,818.3,1146.05,1015.85,827.55,216.85,920.4,1163.55,321.25,650.9,1187.3,1216.85,3461.55,5304.45,127.15,137.4,1027.15,183.65,858.1,345.7,291.85,2354.4,449.05,342.1,2953.9,541.25
9-Mar-16,877,417.05,6418.5,1675.4,335.1,816.6,1131.05,1025.9,840.65,216.3,935.25,1178.5,319.95,659.7,1212.95,1235.05,3577.45,5203.65,126.4,139.55,1041.95,183.45,860.1,347.75,295.45,2356.2,464.25,339.45,2991.3,538.45
10-Mar-16,893.15,413.15,6406.55,1681.5,335.95,818.35,1152.6,1020.7,837.55,215.45,926.65,1145.95,316.05,654.45,1186,1226.05,3627.15,5185.85,126.95,139.5,1012,180.65,865.15,348.4,296.15,2348,466.15,338.85,2995.55,536
11-Mar-16,896.15,412.45,6390.15,1650.3,337.85,822.45,1158.75,1028.45,849.15,213.8,926.9,1142.5,321.1,642.75,1185.8,1219.95,3638.65,5176.15,126.3,138.1,1015.65,180.35,867.75,354,294.45,2366,458.2,345.6,2990.55,540.9
14-Mar-16,897.3,415.95,6520.9,1644.65,340.9,827.45,1156.05,1027.85,854.85,221.7,921.1,1140.95,324.3,637.95,1183.75,1211,3649.35,5105,127.3,138.45,1018.55,181.9,864,365.9,296.3,2352,469.55,342.55,3008.4,539.55
15-Mar-16,886.1,419.15,6467.45,1662.75,343.65,811.75,1114.1,1027.35,842,221.35,918.85,1134.35,316.85,639.7,1181.1,1206.95,3653.9,5053.85,127.4,138.7,1020.4,185.25,843.9,360.65,299.8,2329.65,460.25,344.15,2988.25,534.9
16-Mar-16,866.85,424.25,6482.8,1644.45,339.65,814.5,1125.95,1030.75,843.6,226.45,915.95,1152,322.1,651.55,1182.85,1212.35,3666.35,5026.4,127.5,138.65,1021.75,185.1,836.65,359.85,299.2,2327.35,465.9,340,2974.35,538.95
17-Mar-16,870.75,427.95,6583.9,1651.8,341.55,814.65,1109.7,1017.85,849.3,227.55,909.45,1160.2,324,652,1193.8,1198.35,3633.1,5089.15,126.8,138.1,1015.55,186.15,828.2,361.05,295.8,2351.75,486.2,339.7,3026.85,538.25
18-Mar-16,874.9,435.95,6633.9,1651.8,344.65,824.05,1127.65,1028.65,846.05,230.35,927.2,1190.2,325,657.75,1199.25,1222.2,3629.55,5199.6,127.4,136.8,1025.2,191.05,815.9,365.9,302,2427.25,493.05,337.7,3110.25,546.65
21-Mar-16,859.55,443.55,6658.7,1648.1,353.55,822.8,1152.05,1044.25,880.35,234.8,932.4,1195,330.4,664.3,1227.8,1227.5,3670.1,5258.1,127.5,138.05,1036.2,196.65,835.65,374.55,302.9,2443.65,490.3,341.9,3221.6,557.35
22-Mar-16,854,440.65,6626.5,1660.9,351.3,828.55,1166.55,1053.7,871.35,233.7,927.4,1189.9,323.7,664.05,1237.1,1253.15,3699.4,5274.35,128.4,138.55,1048.5,197.4,844.1,376.9,309.45,2474.05,484.35,357.55,3201.6,553.05
23-Mar-16,850,437.55,6877.05,1719.9,358.55,817.95,1163.1,1048.85,872.6,234.3,927.8,1207.75,324.4,659.85,1241.75,1249.2,3735.7,5261.15,127.35,137.15,1029.35,196.8,846.6,376.95,316.6,2474.7,479.7,352.5,3197.85,555.85
28-Mar-16,845.35,422.8,6699.1,1683.3,350.15,811.65,1142.9,1047.6,864.2,225.25,916.55,1204.7,322.25,669.1,1205.9,1243.3,3638.2,5353.15,129.35,139,1020.5,188.45,811.05,363.25,300.05,2473.55,475.1,327.6,3178.9,555.05
29-Mar-16,854.05,429.35,6655.65,1662.7,354.6,810.5,1127.7,1053.25,861.5,223.35,927.9,1198.95,320.2,671.25,1193.2,1232.25,3730.85,5326.15,127.3,138.3,1035.4,189.5,794.05,372.8,303.9,2467.85,467.7,330.5,3137.1,552.8
30-Mar-16,881.4,443.4,6789,1696.1,353.9,821.05,1115.55,1064.8,862.65,237.45,946.15,1205.8,326.7,683.6,1226.75,1220.2,3728,5476.4,129.75,139.75,1044.9,197.55,811.6,388.9,324.4,2488.35,472.9,338.3,3192.05,561.2
31-Mar-16,868.7,444.55,6929.2,1703.75,350.9,814.15,1105.55,1071.2,869.5,236.55,967.6,1217.95,328.05,681,1216.2,1209.65,3719.1,5768.95,128.8,139.1,1045.25,194.3,819.45,386.3,319.5,2516.05,475.45,338.8,3227,563.35
1-Apr-16,869.95,449.55,6877.05,1745,335.25,820.7,1111.55,1065,866.4,238.6,960.05,1205.9,336,679.4,1238.3,1194.55,3723.25,5634.95,129.95,138.35,1033.65,195.7,816.15,379.55,317.7,2455.4,462.85,340.3,3204.45,561.5
4-Apr-16,885.6,445.1,6864.9,1747.55,347.85,839.8,1104.15,1069.3,872,238.5,960.85,1243.55,330.95,686.45,1235.75,1245.75,3681.3,5674.85,131.05,138.6,1035.15,195,815.95,388.05,320.2,2470.7,470.65,344.65,3173.15,566.05
5-Apr-16,869.25,432.25,6833.3,1746,330.35,843.7,1103.4,1058.3,868.25,225.5,950.45,1218.6,326.5,669.45,1194.95,1216,3546.45,5724.05,127,139,1028.1,184.5,800.55,370.5,312.1,2462.65,462.45,345.75,3101.05,559.55
6-Apr-16,864.4,424.85,6957.2,1769.05,334.65,840.2,1101.1,1061.5,871.6,222.8,955.3,1201.1,326.1,666.95,1209.55,1221.35,3571.65,5708.15,126.05,139.7,1031.45,183.95,809.6,377.2,328.45,2478.9,454.05,347.9,3191.55,561.35
7-Apr-16,856.95,426.45,6985.4,1758.15,331.7,828.65,1072.65,1055.65,860.6,220.15,939.55,1181.65,319.6,663.15,1182.5,1212.55,3471.35,5861,126.55,140.1,1037.95,182.1,812.45,375.1,323.95,2470.95,444.75,338.8,3139.85,552.4
8-Apr-16,852.25,421.5,7115.75,1748.25,334.3,831.7,1079.05,1058.8,850,221.4,937.6,1167.35,321.35,665,1190.65,1233.1,3428.85,5962.35,131.55,140.9,1037.85,183.1,811.8,372.2,322.25,2428.7,455.95,335.8,3159,546.9
11-Apr-16,859.8,429.9,7205.8,1784.3,348.35,839.15,1079.65,1069.85,863.3,224.8,960.35,1184.4,326.5,671.75,1212.8,1232.55,3478.6,5872.7,134.6,142.1,1039.85,188.15,816.7,385.85,331.15,2506.65,468.8,344.55,3153.7,565.25
12-Apr-16,865.4,433.45,7309.4,1780,349.55,838.85,1089.6,1064,870.7,228.65,969,1182.3,322.65,677.3,1222.55,1240.75,3576.65,6135.8,135.75,143,1047.15,187.7,823.6,395.1,324.15,2512.5,464.25,350.65,3164.9,568.2
13-Apr-16,873.1,440.75,7418.9,1822.95,351.8,837.9,1113.2,1081.25,895.5,241,988.2,1172.05,330.95,692.5,1235.55,1332.6,3734.6,6105.8,137.15,145,1065.45,191.75,831.75,408.55,332.6,2523.15,470.7,353.75,3275.55,584.6
18-Apr-16,884.05,444.15,7313,1876.05,358.55,853.4,1127.3,1088.3,896.7,236.75,987.8,1238.8,335.35,683,1249.3,1341.05,3718.2,6125,139.45,145.7,1061.75,186.85,836.75,407.1,335,2522.4,476.3,360.5,3406.9,589.15
20-Apr-16,885.55,458.05,7216.15,1884.6,356.5,841.25,1138.4,1096.6,902.6,238.15,984.9,1243.25,335,685.95,1264.1,1327.35,3669.6,6035.7,141.2,147.95,1038.3,187.3,827.9,404.05,356.85,2451.9,483.2,374.6,3369.75,601.35
21-Apr-16,887.95,467.6,6984.2,1851.65,356.75,845.85,1148.7,1091.05,902.75,253.05,971.65,1226.4,329.6,685.9,1251.65,1308.15,3703.6,5970.85,141.05,145.9,1040.9,194.2,832.5,411.45,354.4,2423.2,476.15,369.3,3269.6,559.2
22-Apr-16,871.6,474.65,6974.8,1850.35,353.1,844.95,1131.4,1092.3,884.3,251.95,979.75,1213.85,325.7,676.05,1263.1,1323.65,3817.35,5955.25,143.15,146.2,1038.75,199.9,820.15,416.95,353.8,2417.2,480,370.4,3270.85,557.7
25-Apr-16,862.75,470,6850.25,1839.6,358.85,845,1111.6,1092,883.5,253.1,982.4,1217.05,321,679.7,1265.45,1326.85,3734.3,5889.3,140.1,143.5,1016.15,197.3,808.95,411.35,347.55,2448.3,471.8,373.5,3277.6,552.4
26-Apr-16,876.9,480.45,6997.5,1869.75,360.4,850.1,1127.85,1113.4,885.85,254.1,1021.05,1232.95,327.7,701.1,1281,1355.05,3869.45,5847.1,140.4,145.05,1016.8,200.85,814.1,419.3,358.4,2488,476.05,371.9,3266.9,554.7
27-Apr-16,889.6,465.5,6944.25,1874.55,373.15,837.7,1123.05,1124.35,893,244.8,1039.55,1240,333.3,711.65,1277.3,1384.8,3862,5888.7,140.7,144.2,1019.7,196.5,813.9,418.6,356.6,2505.55,479.65,371.7,3189.45,560.95
28-Apr-16,874.05,468.25,6964.25,1842.5,372.3,799.95,1087,1114.6,876.6,240.15,1033.95,1211.45,323.3,702.15,1259.6,1343.35,3748.45,5910.8,137.25,141.5,997.35,192.15,802.55,410.9,347.7,2526.95,480.6,369.25,3164.05,553.6
29-Apr-16,868.1,472.25,6832.2,1865.7,363.8,750.45,1088.8,1133.45,866.65,236.6,1049.2,1210.85,324.8,715.6,1253.55,1331.75,3794.95,5743.85,138.8,143.45,982.55,188.95,811.3,408.85,350.55,2530.05,487.2,355.4,3162.45,553.7
2-May-16,862.75,471.9,7049.15,1944,357.85,742.95,1092.75,1117.95,864.35,226.95,1044.05,1200.65,320.9,718.4,1248.1,1335.75,3829.55,5743.9,138.05,142.9,986.3,186.4,811.45,407.3,346.8,2525.15,477.15,366.55,3177.4,548.25
3-May-16,871.55,469.75,6979.7,1946.3,367,729.3,1099.5,1117.45,850.5,221.35,1038.75,1180.75,316.9,708.4,1250.85,1325.85,3816.9,5605.2,136.65,144.95,976.05,184.2,798.35,409.5,348.45,2480.25,467.1,361.25,3214.2,543.55
4-May-16,873.15,462.3,6946.65,1899.5,360.8,736.75,1131,1127.4,853.6,214.75,1040.1,1189.55,312.8,711.85,1246.05,1318.45,3809.2,5554.45,138.5,142.9,977.5,180.1,802.75,381.8,328.95,2478.25,466.7,360.05,3183.6,539.8
5-May-16,868.35,461.4,7154.8,1895.1,355.2,733.5,1163.85,1132.95,851.15,214.85,1037.25,1192.45,317.55,709.15,1273.45,1320.65,3840.05,5534.55,139.35,143.2,975.05,180.45,810.9,391.2,332,2474,479.05,359.4,3120.15,543
6-May-16,888.4,461.5,7255.15,1872.8,358.6,724.6,1167.6,1120.65,852.95,218.15,1040.85,1181.45,317.2,703.65,1260.05,1327.75,3819.5,5630.95,140.05,142.15,969.15,184.4,804.1,398.7,329.45,2472.15,471.95,364.1,3100.9,532.6
9-May-16,906.15,477.25,7371.35,1880.45,366.6,722.9,1204,1141.85,846.1,225.3,1054.6,1199.15,324.75,713.5,1294.35,1349.45,3856.2,5523.65,143.15,143.45,982.95,188.65,804.75,403.35,329.05,2515.35,478.3,365.6,3164.95,538.9
10-May-16,898.65,487.85,7432,1860.6,368.85,720,1218.5,1144.7,862.45,225.5,1054.35,1212.55,323.3,721.5,1318.6,1350.4,3846.95,5523.1,140.65,141.6,981.35,189.3,802.4,388.9,327.95,2523.6,483,371.95,3172.1,538.6
11-May-16,907.4,498.4,7479.05,1870.2,359.45,708.75,1203.65,1138,862.7,224.1,1053.3,1201.05,318,731.15,1324,1346.15,3889.85,5597.35,141.1,141.15,974.85,184.95,796.1,380.1,329,2517.75,473.5,369.75,3196.2,537.15
12-May-16,926.75,492.45,7650.5,1901.4,362.3,715.95,1195.35,1149.9,853.15,231.85,1064.15,1210.2,319,726.6,1317.65,1331.8,3862.95,5703.85,141.35,143.7,991.05,188.4,803.65,387.2,330.8,2567.05,481.15,374,3221.35,542.1
13-May-16,942.5,490.8,7613.5,1870.75,354.95,722.25,1166.05,1140.15,831.1,226.55,1065.2,1206.7,319.3,708.9,1287.15,1313.1,3844.6,6128.5,141.05,144.5,978,185,795,390,323,2523.4,478.45,364.95,3152.65,539.6
16-May-16,951.6,486.85,7758.25,1864.9,353.55,720.4,1187.3,1163.05,846.45,224,1080.8,1213.95,329.3,718,1283.2,1318.3,3880.3,6284.45,140.1,144.3,976.15,177.2,797.95,392.55,326.35,2553.8,486.7,365.5,3169.25,540.95
17-May-16,969.9,503,7750.6,1857.2,351.5,731.9,1216.25,1153.6,833.25,226.25,1082.55,1214.05,330.35,709.5,1293.4,1341.4,3949.15,6208.8,137.05,144.5,970.2,177.05,800,389.9,326.95,2570.2,483.65,364.7,3252.8,540.6
18-May-16,964,501.35,7765.5,1857.35,351.15,742.25,1208.2,1140.9,825.15,226.25,1082.6,1209.75,332.85,709.35,1309.4,1320.1,3914.2,6193.05,136.3,143,970.15,180.2,795.2,385,328.9,2550.45,483.55,365.25,3217.15,538.95
19-May-16,956.95,490.3,7735.2,1850.35,344.9,728.5,1176.7,1136.95,815.25,225.55,1069.9,1205.35,324.9,705.9,1267,1309.35,3926.85,6091.9,135.45,143.95,950.55,172.9,792.4,387.7,326.1,2555.55,482.7,363.15,3181.65,542.7
20-May-16,956.15,490.85,7777.55,1807.3,342.85,735.15,1180.1,1140.3,812.65,220.05,1071.45,1201.75,329.95,701.8,1257.6,1294.05,3947.05,5975.4,136.8,144.35,934.1,171.45,792.05,384.55,322.9,2532.05,475.85,365.9,3142.7,543.25
23-May-16,947.15,486.3,7650.1,1804.6,345.9,733.4,1160.6,1137.1,819.55,220.95,1056.3,1190.75,347.4,704.2,1240.85,1286.35,3911.55,5954.35,135.7,148.05,930,168.95,784.3,382.75,313.6,2491.7,476.65,362.45,3124.5,540.1
24-May-16,956.25,489.3,7622.85,1762.15,345.25,737.55,1173.3,1140.7,823.05,224.4,1043.6,1188.2,348.6,699.85,1241.4,1296.25,3917.5,6011.55,138.45,146.6,940.05,169.55,772.8,389.25,317.6,2467.5,479.25,362.6,3173.7,538.1
25-May-16,982.45,502.35,7503.85,1785.05,351.45,749,1206.95,1172.6,838.85,234.45,1092.75,1208.85,356.4,714.25,1291.3,1312.15,4053.6,6127.65,141.85,149.45,949.25,175.15,786.9,397,324.35,2526.7,528.55,364.7,3205.6,546.25
26-May-16,991.5,519.2,7466.55,1788.85,352.85,740.65,1227.5,1181.45,851.5,240.7,1103.55,1231.65,362.3,727.85,1472.6,1337.1,4117.15,6114.7,140.9,150.75,946.65,183.75,780.05,399.3,325,2552.8,541.65,362.1,3214.95,545.1
27-May-16,998.05,513.1,7668.65,1828,353,754.65,1257.3,1187.35,861.55,243,1103.75,1246.4,359.45,742.25,1474.55,1335.15,4141.35,6169.9,139.9,150.7,972.65,195.55,825.5,403.5,329,2572.05,535.7,360.65,3246.05,545.9
30-May-16,985.05,513.3,7642.8,1839.3,356.4,747.25,1230.55,1180.05,854.75,244.7,1100.05,1263.45,356.6,743.05,1486.45,1331.8,4073.15,6286.3,143.1,151.5,969.45,198.65,812.5,420.55,323.1,2635.35,543.95,363.15,3220.4,550.3
31-May-16,984.1,515.6,7575.3,1823.8,351.65,739.9,1238.9,1181.35,849.9,245.2,1103.6,1249.85,351.6,746.7,1474.3,1324.7,4167.9,6098.85,143.25,150,958.95,204.85,762.7,458.2,334.45,2575.1,538.4,359.2,3229.35,546.2
